"county","year","urban_pop_prop","rural_pop_prop","total_population"
"Norrbotten",1975,0.52275951750367,0.47724048249633,273660.292280904
"Västerbotten",1975,0.5130463633267,0.4869536366733,260769.195095325
"Jämtland",1975,0.317390462336503,0.682609537663497,137293.168721798
"Dalarna",1975,0.447580095259946,0.552419904740054,284703.856220313
"Värmland",1975,0.53980072653284,0.46019927346716,288655.3445142
"Västra Götaland",1975,0.647710116393341,0.352289883606659,1397527.66709268
"Västernorrland",1975,0.529195107293252,0.470804892706748,250325.279134403
"Gävleborg",1975,0.514792121411242,0.485207878588758,287483.523940021
"Uppsala",1975,0.521439403556984,0.478560596443016,239926.526018901
"Stockholm",1975,0.888972422460584,0.111027577539416,1446290.82624414
"Södermanland",1975,0.563347669481942,0.436652330518058,232586.105135554
"Östergötland",1975,0.613808230398163,0.386191769601837,389479.804402571
"Kalmar",1975,0.427180980882932,0.572819019117068,246146.008882994
"Blekinge",1975,0.531560229384091,0.468439770615909,132832.028954024
"Skåne",1975,0.659732744029649,0.340267255970351,956143.440960753
"Halland",1975,0.503154264381005,0.496845735618995,244043.256254239
"Gotland",1975,0.393337900091534,0.606662099908466,61622.753837652
"Västmanland",1975,0.685179262544676,0.314820737455324,256341.297342754
"Jönköping",1975,0.554224013525426,0.445775986474574,300307.145125066
"Orebro",1975,0.591464155895568,0.408535844104432,261624.997135994
"Kronoberg",1975,0.456386391070361,0.543613608929639,162777.063860449
"Norrbotten",1976,0.52275951750367,0.47724048249633,273660.292280904
"Västerbotten",1976,0.5130463633267,0.4869536366733,260769.195095325
"Jämtland",1976,0.317390462336503,0.682609537663497,137293.168721798
"Dalarna",1976,0.447580095259946,0.552419904740054,284703.856220313
"Värmland",1976,0.53980072653284,0.46019927346716,288655.3445142
"Västra Götaland",1976,0.647710116393341,0.352289883606659,1397527.66709268
"Västernorrland",1976,0.529195107293252,0.470804892706748,250325.279134403
"Gävleborg",1976,0.514792121411242,0.485207878588758,287483.523940021
"Uppsala",1976,0.521439403556984,0.478560596443016,239926.526018901
"Stockholm",1976,0.888972422460584,0.111027577539416,1446290.82624414
"Södermanland",1976,0.563347669481942,0.436652330518058,232586.105135554
"Östergötland",1976,0.613808230398163,0.386191769601837,389479.804402571
"Kalmar",1976,0.427180980882932,0.572819019117068,246146.008882994
"Blekinge",1976,0.531560229384091,0.468439770615909,132832.028954024
"Skåne",1976,0.659732744029649,0.340267255970351,956143.440960753
"Halland",1976,0.503154264381005,0.496845735618995,244043.256254239
"Gotland",1976,0.393337900091534,0.606662099908466,61622.753837652
"Västmanland",1976,0.685179262544676,0.314820737455324,256341.297342754
"Jönköping",1976,0.554224013525426,0.445775986474574,300307.145125066
"Orebro",1976,0.591464155895568,0.408535844104432,261624.997135994
"Kronoberg",1976,0.456386391070361,0.543613608929639,162777.063860449
"Norrbotten",1977,0.52275951750367,0.47724048249633,273660.292280904
"Västerbotten",1977,0.5130463633267,0.4869536366733,260769.195095325
"Jämtland",1977,0.317390462336503,0.682609537663497,137293.168721798
"Dalarna",1977,0.447580095259946,0.552419904740054,284703.856220313
"Värmland",1977,0.53980072653284,0.46019927346716,288655.3445142
"Västra Götaland",1977,0.647710116393341,0.352289883606659,1397527.66709268
"Västernorrland",1977,0.529195107293252,0.470804892706748,250325.279134403
"Gävleborg",1977,0.514792121411242,0.485207878588758,287483.523940021
"Uppsala",1977,0.521439403556984,0.478560596443016,239926.526018901
"Stockholm",1977,0.888972422460584,0.111027577539416,1446290.82624414
"Södermanland",1977,0.563347669481942,0.436652330518058,232586.105135554
"Östergötland",1977,0.613808230398163,0.386191769601837,389479.804402571
"Kalmar",1977,0.427180980882932,0.572819019117068,246146.008882994
"Blekinge",1977,0.531560229384091,0.468439770615909,132832.028954024
"Skåne",1977,0.659732744029649,0.340267255970351,956143.440960753
"Halland",1977,0.503154264381005,0.496845735618995,244043.256254239
"Gotland",1977,0.393337900091534,0.606662099908466,61622.753837652
"Västmanland",1977,0.685179262544676,0.314820737455324,256341.297342754
"Jönköping",1977,0.554224013525426,0.445775986474574,300307.145125066
"Orebro",1977,0.591464155895568,0.408535844104432,261624.997135994
"Kronoberg",1977,0.456386391070361,0.543613608929639,162777.063860449
"Norrbotten",1978,0.52275951750367,0.47724048249633,273660.292280904
"Västerbotten",1978,0.5130463633267,0.4869536366733,260769.195095325
"Jämtland",1978,0.317390462336503,0.682609537663497,137293.168721798
"Dalarna",1978,0.447580095259946,0.552419904740054,284703.856220313
"Värmland",1978,0.53980072653284,0.46019927346716,288655.3445142
"Västra Götaland",1978,0.647710116393341,0.352289883606659,1397527.66709268
"Västernorrland",1978,0.529195107293252,0.470804892706748,250325.279134403
"Gävleborg",1978,0.514792121411242,0.485207878588758,287483.523940021
"Uppsala",1978,0.521439403556984,0.478560596443016,239926.526018901
"Stockholm",1978,0.888972422460584,0.111027577539416,1446290.82624414
"Södermanland",1978,0.563347669481942,0.436652330518058,232586.105135554
"Östergötland",1978,0.613808230398163,0.386191769601837,389479.804402571
"Kalmar",1978,0.427180980882932,0.572819019117068,246146.008882994
"Blekinge",1978,0.531560229384091,0.468439770615909,132832.028954024
"Skåne",1978,0.659732744029649,0.340267255970351,956143.440960753
"Halland",1978,0.503154264381005,0.496845735618995,244043.256254239
"Gotland",1978,0.393337900091534,0.606662099908466,61622.753837652
"Västmanland",1978,0.685179262544676,0.314820737455324,256341.297342754
"Jönköping",1978,0.554224013525426,0.445775986474574,300307.145125066
"Orebro",1978,0.591464155895568,0.408535844104432,261624.997135994
"Kronoberg",1978,0.456386391070361,0.543613608929639,162777.063860449
"Norrbotten",1979,0.52275951750367,0.47724048249633,273660.292280904
"Västerbotten",1979,0.5130463633267,0.4869536366733,260769.195095325
"Jämtland",1979,0.317390462336503,0.682609537663497,137293.168721798
"Dalarna",1979,0.447580095259946,0.552419904740054,284703.856220313
"Värmland",1979,0.53980072653284,0.46019927346716,288655.3445142
"Västra Götaland",1979,0.647710116393341,0.352289883606659,1397527.66709268
"Västernorrland",1979,0.529195107293252,0.470804892706748,250325.279134403
"Gävleborg",1979,0.514792121411242,0.485207878588758,287483.523940021
