"Name_clean","Name","Count","source","lat","lon","matched_name","in_sweden","county"
"Aareavaara","Aareavaara",2,"geonames_unique","67.45194","23.45917","Aareavaara",1,"Norrbotten"
"Abbekås","Abbekås",1,"geonames_unique","55.4","13.6","Abbekås",1,"Skåne"
"Abisko","Abisko",55,"geonames_unique","68.34914","18.82868","Abisko",1,"Norrbotten"
"Abisko nationalpark","Abisko nationalpark",7,"geocode","68.32018","18.69461","Abisko Nationalpark",1,"Norrbotten"
"Abisko turiststation","Abisko turiststation",1,"geonames_unique","68.35739","18.78244","Abisko turiststation",1,"Norrbotten"
"Abiskos forskningsstation","Abiskos forskningsstation",1,"https://www.wikidata.org//wiki/Q10397996","68.3544444444444","18.8155555555556","Abisko research station",1,"Norrbotten"
"Abrahamsberg","Abrahamsberg",1,"https://www.wikidata.org//wiki/Q1781392","59.3331222222222","17.9479111111111","Abrahamsberg",1,"Stockholm"
"Abraure","Abraure",2,"geonames_unique","66.03004","18.82916","Abraure",1,"Norrbotten"
"Åby","Åby",8,"https://www.wikidata.org//wiki/Q270811","58.6651711111111","16.1747930555556","Åby",1,"Östergötland"
"Åbyskolan i","Åbyskolan i",1,"https://www.wikidata.org//wiki/Q89199056","56.781","16.29","No label defined",1,"Kalmar"
"AC län","AC län",2,"https://www.wikidata.org//wiki/Q104877","64.3447222222222","18.3141666666667","Västerbotten County",1,"Västerbotten"
"Acksjön","Acksjön",1,"https://www.wikidata.org//wiki/Q16488891","59.2587805555556","17.6689694444444","Acksjön",1,"Stockholm"
"Adakgruvan","Adakgruvan",7,"geonames_unique","65.36667","18.6","Adakgruvan",1,"Västerbotten"
"Ådalen","Ådalen.",1,"https://www.wikidata.org//wiki/Q10726195","59.8402305555556","16.91535","Ådalen",1,"Uppsala"
"Ådalen","Ådalen",325,"https://www.wikidata.org//wiki/Q10726195","59.8402305555556","16.91535","Ådalen",1,"Uppsala"
"Ådalsliden","Ådalsliden",2,"geonames_unique","63.44483","16.89139","Ådalsliden",1,"Västernorrland"
"Ådalsskolan","Ådalsskolan",7,"https://www.wikidata.org//wiki/Q18450585","62.93091995","17.7860721388889","No label defined",1,"Västernorrland"
"Adelcrantzska palatset","Adelcrantzska palatset",1,"https://www.wikidata.org//wiki/Q10401006","59.3297169444444","18.0640280555556","Adelcrantz palace",1,"Stockholm"
"Ädelfors","Ädelfors",3,"geonames_unique","57.41667","15.31667","Ädelfors",1,"Jönköping"
"Ädelfors folkhögskola","Ädelfors folkhögskola",3,"https://www.wikidata.org//wiki/Q8077039","57.4333333333333","15.2","Ädelfors folkhögskola",1,"Jönköping"
"Adelsö kyrka","Adelsö kyrka.",2,"geonames_unique","59.36008","17.53143","Adelsö kyrka",1,"Stockholm"
"Adelsö socken","Adelsö socken",1,"geonames_unique","59.3615","17.50017","Adelsö socken",1,"Stockholm"
"Adolf Fredrik","Adolf Fredrik",1,"geonames_unique","59.33789","18.06006","Adolf Fredrik",1,"Stockholm"
"Adolf Fredriks","Adolf Fredriks",1,"https://www.wikidata.org//wiki/Q3433770","59.3379444444444","18.0601111111111","Adolf Fredriks parish",1,"Stockholm"
"Adolf Fredriks musikklasser","Adolf Fredriks musikklasser",5,"https://www.wikidata.org//wiki/Q10401414","59.3376944444444","18.0506111111111","Adolf Fredrik's Music School",1,"Stockholm"
"Adolfs torg","Adolfs torg",18,"https://www.wikidata.org//wiki/Q2854887","59.3291944444444","18.0683055555556","Gustav Adolfs torg",1,"Stockholm"
"Adolfs torg","Adolfs torg.",7,"https://www.wikidata.org//wiki/Q2854887","59.3291944444444","18.0683055555556","Gustav Adolfs torg",1,"Stockholm"
"Adolfs Torg","Adolfs Torg.",1,"https://www.wikidata.org//wiki/Q2854887","59.3291944444444","18.0683055555556","Gustav Adolfs torg",1,"Stockholm"
"Adolfsberg","Adolfsberg",3,"https://www.wikidata.org//wiki/Q10401439","59.2497222222222","15.1672222222222","Adolfsberg",1,"Orebro"
"Adolfskolan","Adolfskolan",3,"https://www.wikidata.org//wiki/Q30313614","62.3883888888889","17.2983055555556","No label defined",1,"Västernorrland"
"Adolfsström","Adolfsström",3,"geonames_unique","66.28333","16.66667","Adolfsström",1,"Norrbotten"
"Åfors","Åfors",5,"https://www.wikidata.org//wiki/Q10726221","56.7436944444444","15.4938888888889","Åfors",1,"Kalmar"
"Ågesta","Ågesta",17,"geonames_unique","59.22258","18.08154","Ågesta",1,"Stockholm"
"Äggfors","Äggfors",1,"geonames_unique","63.31667","13.68333","Äggfors",1,"Jämtland"
"Agnäs","Agnäs",73,"geonames_unique","63.85","19.26667","Agnäs",1,"Västerbotten"
"Agnesberg","Agnesberg",4,"geonames_unique","57.78996","12.01454","Agnesberg",1,"Västra Götaland"
"Ågrenska","Ågrenska",1,"https://www.wikidata.org//wiki/Q18335169","57.65","11.9","No label defined",1,"Västra Götaland"
"Ågrenska","Ågrenska.",1,"https://www.wikidata.org//wiki/Q18335169","57.65","11.9","No label defined",1,"Västra Götaland"
"Agunnaryd","Agunnaryd",8,"https://www.wikidata.org//wiki/Q3274133","56.74807","14.1445911111111","Agunnaryd",1,"Kronoberg"
"Ahasjön","Ahasjön",2,"geonames_unique","65.81667","15.05","Ahasjön",1,"Västerbotten"
"Åhléns City","Åhléns City",1,"https://www.wikidata.org//wiki/Q10726246","59.3322194444444","18.0613888888889","Åhléns City",1,"Stockholm"
"Åhlénshuset","Åhlénshuset",2,"https://www.wikidata.org//wiki/Q131841562","56.6748333333333","12.8564444444444","No label defined",1,"Halland"
